ds,y,y_imputed
2011-10-01,26362.717,False
2011-11-01,25476.305,False
2011-12-01,28424.437,False
2012-01-01,21824.945,False
2012-02-01,22448.624,False
2012-03-01,27702.254,False
2012-04-01,23290.994,False
2012-05-01,30004.885,False
2012-06-01,22804.265,False
2012-07-01,25761.299,False
2012-08-01,21064.283,False
2012-09-01,30620.887,False
2012-10-01,24246.574,False
2012-11-01,26691.11,False
2012-12-01,29741.744,False
2013-01-01,21545.846,False
2013-02-01,21258.206,False
2013-03-01,26208.712,False
2013-04-01,21259.94,False
2013-05-01,25927.653,False
2013-06-01,24250.86,False
2013-07-01,29080.647,False
2013-08-01,30507.102,False
2013-09-01,28032.921,False
2013-10-01,28189.359,False
2013-11-01,26612.935,False
2013-12-01,28270.703,False
2014-01-01,21213.441,False
2014-02-01,21839.202,False
2014-03-01,29829.221,False
2014-04-01,22835.096,False
2014-05-01,27414.368,False
2014-06-01,29769.048,False
2014-07-01,28899.297,False
2014-08-01,26684.609,False
2014-09-01,25991.985,False
2014-10-01,26426.7,False
2014-11-01,28109.17,False
2014-12-01,28873.088,False
2015-01-01,23864.10567,False
2015-02-01,22900.629760000003,False
2015-03-01,24387.46877,False
2015-04-01,22428.859660000002,False
2015-05-01,26886.641030000003,False
2015-06-01,27128.866719999998,False
2015-07-01,27989.63943,False
2015-08-01,20683.618489999997,False
2015-09-01,23925.912579999997,False
2015-10-01,28285.80762,False
2015-11-01,25752.021370000002,False
2015-12-01,24672.909600000003,False
2016-01-01,23478.57808,False
2016-02-01,22988.086199999998,False
2016-03-01,25907.03924,False
2016-04-01,21687.809149999997,False
2016-05-01,20776.46801,False
2016-06-01,27934.557960000002,False
2016-07-01,25070.33946,False
2016-08-01,24531.14661,False
2016-09-01,24692.88641,False
2016-10-01,22332.734170000003,False
2016-11-01,19739.71454,False
2016-12-01,21734.91889,False
2017-01-01,19560.84746,False
2017-02-01,21820.415989999998,False
2017-03-01,24732.71781,False
2017-04-01,19411.92037,False
2017-05-01,23303.261629999997,False
2017-06-01,25072.54683,False
2017-07-01,25710.19066,False
2017-08-01,23758.69171,False
2017-09-01,24684.203920000004,False
2017-10-01,24640.86242,False
2017-11-01,22571.89919,False
2017-12-01,22927.59295,False
2018-01-01,20348.21502,False
2018-02-01,20881.32949,False
2018-03-01,25143.279440000002,False
2018-04-01,19989.34196,False
2018-05-01,22174.13748,False
2018-06-01,23946.80674,False
2018-07-01,24058.52837,False
2018-08-01,22915.51614,False
2018-09-01,24873.414539999998,False
2018-10-01,22423.967780000003,False
2018-11-01,20583.27217,False
2018-12-01,24439.56577,False
2019-01-01,22677.3148,False
2019-02-01,22604.40441,False
2019-03-01,25329.4585,False
2019-04-01,20177.02834,False
2019-05-01,25738.04796,False
2019-06-01,23301.69064,False
2019-07-01,23959.58842,False
2019-08-01,25449.22178,False
2019-09-01,24071.1631,False
2019-10-01,25124.027120000002,False
2019-11-01,21312.8379,False
2019-12-01,23088.174890000002,False
2020-01-01,21349.74635,False
2020-02-01,22821.57875,False
2020-03-01,13258.75216,False
2020-04-01,17723.18189,False
2020-05-01,21961.228219999997,False
2020-06-01,22811.00903,False
2020-07-01,26886.01668,False
2020-08-01,21342.56674,False
2020-09-01,23467.652550000003,False
2020-10-01,22270.14618,False
2020-11-01,19347.56081,False
2020-12-01,23335.778019999998,False
2021-01-01,20055.46674,False
2021-02-01,22442.5296,False
2021-03-01,24817.18079,False
2021-04-01,23873.905131475407,True
2021-05-01,22961.057719999997,False
2021-06-01,26044.843960000002,False
2021-07-01,24769.974309999998,False
2021-08-01,24730.45148,False
2021-09-01,22620.03382,False
2021-10-01,23590.36349,False
2021-11-01,24933.063329999997,False
2021-12-01,23318.70605,False
2022-01-01,18774.11216,False
2022-02-01,20527.45332,False
2022-03-01,22351.67774,False
2022-04-01,17680.33956,False
2022-05-01,19027.83376,False
2022-06-01,22712.79937,False
2022-07-01,22070.134739999998,False
2022-08-01,22214.62774,False
2022-09-01,20784.28032,False
2022-10-01,18313.38552,False
2022-11-01,18541.93065,False
2022-12-01,18647.68727,False
2023-01-01,16780.982969999997,False
2023-02-01,17097.2436459322,True
2023-03-01,17382.89845,False
2023-04-01,15278.15366,False
2023-05-01,19275.97607,False
2023-06-01,20745.18765,False
2023-07-01,21938.559390000002,False
2023-08-01,22467.81221,False
2023-09-01,22133.218370000002,False
2023-10-01,17467.1703,False
2023-11-01,20410.98031,False
2023-12-01,19893.38316,False
2024-01-01,18065.16123,False
2024-02-01,21307.975010000002,False
2024-03-01,20155.27044,False
2024-04-01,15527.54873,False
2024-05-01,18274.90513,False
2024-06-01,19652.46098,False
2024-07-01,19761.71908,False
2024-08-01,20652.01409,False
2024-09-01,18375.9586,False
2024-10-01,19178.22696,False
2024-11-01,18615.609510000002,False
2024-12-01,20854.85637,False
2025-01-01,17999.952859999998,False
2025-02-01,18629.49107,False
2025-03-01,19303.629871,True
2025-04-01,20049.99782925,True
2025-05-01,20772.28940175,True
2025-06-01,21518.65736,False
2025-07-01,22388.818789999998,False
2025-08-01,21766.44839,False
2025-09-01,21822.72961,False
2025-10-01,20012.97518,False
2025-11-01,17721.53361,False
2025-12-01,16124.84518,False
2026-01-01,18958.17884,False
2026-02-01,18209.24022,False
2026-03-01,18148.41534,False
2026-04-01,16609.43606,False
